ID,Retired,Gender,Date of Birth,Date of Hire,Annual Salary,Date of Retirement,Occupation,Weight
1,Y,F,1950-06-30,1979-04-30,50000,2014-07-31,2,0.15
2,Y,M,1955-06-30,1980-05-31,45000,2015-06-30,1,0.15
3,N,F,1981-06-30,2005-01-31,80000,2045-06-30,4,0.08
4,N,M,1991-06-30,2015-01-31,40000,2055-06-30,2,0.08
5,N,M,1971-06-30,2005-01-31,120000,2035-06-30,5,0.08
6,N,F,1961-06-30,2000-12-31,80000,2020-06-30,2,0.08
7,N,F,1981-06-30,2005-01-31,100000,2045-06-30,4,0.08
8,N,M,1986-06-30,2005-01-31,55000,2050-06-30,2,0.1
9,N,M,1966-06-30,1991-01-31,95000,2030-06-30,4,0.1
10,N,F,1971-06-30,1995-01-31,50000,2035-06-30,2,0.1
