Age,Male,Female
0,0.00573,0.00524
1,0.00097,0.00090
2,0.00075,0.00062
3,0.00058,0.00044
4,0.00047,0.00033
5,0.00039,0.00028
6,0.00035,0.00025
7,0.00033,0.00022
8,0.00032,0.00021
9,0.00031,0.00019
10,0.00030,0.00019
11,0.00029,0.00019
12,0.00030,0.00022
13,0.00038,0.00025
14,0.00053,0.00030
15,0.00075,0.00034
16,0.00102,0.00039
17,0.00126,0.00043
18,0.00129,0.00048
19,0.00131,0.00051
20,0.00131,0.00053
21,0.00132,0.00054
22,0.00131,0.00053
23,0.00131,0.00053
24,0.00130,0.00052
25,0.00130,0.00051
26,0.00130,0.00050
27,0.00131,0.00051
28,0.00132,0.00053
29,0.00135,0.00056
30,0.00139,0.00059
31,0.00145,0.00064
32,0.00153,0.00069
33,0.00163,0.00074
34,0.00175,0.00080
35,0.00189,0.00087
36,0.00204,0.00093
37,0.00220,0.00100
38,0.00237,0.00107
39,0.00256,0.00115
40,0.00276,0.00124
41,0.00298,0.00134
42,0.00322,0.00145
43,0.00348,0.00157
44,0.00377,0.00171
45,0.00408,0.00187
46,0.00442,0.00205
47,0.00478,0.00226
48,0.00518,0.00249
49,0.00560,0.00275
50,0.00606,0.00302
51,0.00656,0.00329
52,0.00711,0.00357
53,0.00771,0.00385
54,0.00838,0.00414
55,0.00912,0.00447
56,0.00994,0.00486
57,0.01084,0.00533
58,0.01184,0.00590
59,0.01294,0.00655
60,0.01416,0.00729
61,0.01549,0.00810
62,0.01694,0.00897
63,0.01853,0.00988
64,0.02026,0.01087
65,0.02216,0.01194
66,0.02423,0.01313
67,0.02651,0.01445
68,0.02899,0.01593
69,0.03172,0.01759
70,0.03470,0.01943
71,0.03796,0.02148
72,0.04154,0.02375
73,0.04544,0.02625
74,0.04970,0.02902
75,0.05436,0.03208
76,0.05946,0.03547
77,0.06502,0.03921
78,0.07108,0.04334
79,0.07769,0.04790
80,0.08489,0.05293
81,0.09273,0.05849
82,0.10127,0.06461
83,0.11054,0.07136
84,0.12061,0.07878
85,0.13154,0.08695
86,0.14338,0.09593
87,0.15619,0.10578
88,0.17003,0.11659
89,0.18497,0.12842
90,0.20106,0.14136
91,0.21835,0.15550
92,0.23691,0.17091
93,0.25678,0.18768
94,0.27800,0.20589
95,0.30059,0.22560
96,0.32456,0.24689
97,0.34994,0.26983
98,0.37672,0.29448
99,0.40482,0.32081
100,0.43412,0.34877
101,0.46452,0.37832
102,0.49591,0.40941
103,0.52818,0.44199
104,0.56123,0.47603
105,0.59497,0.51150
106,0.62931,0.54837
107,0.66415,0.58661
108,0.69808,0.62456
109,0.73138,0.66259
110,1.00000,1.00000
